PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
4;2020;0;9999;13;2;2;2;0;0;0;0;0;54;0;19;0;0;10;6;1;11;10327;0;958;0;0
4;2021;0;9999;17;2;3;7;7;0;0;0;0;55;0;33;0;0;17;10;2;13;14187;0;463;1;0
6;2019;0;9999;4;0;2;0;-6;0;1;0;0;67;0;14;0;0;10;0;3;4;4946;715;408;0;0
6;2020;0;9999;13;1;5;2;-4;0;1;0;0;73;0;46;0;0;29;4;8;25;17449;1131;1281;0;0
6;2021;0;9999;17;2;4;4;2;0;2;0;0;69;0;56;0;0;40;13;8;38;21902;2144;491;0;0
9;2019;0;9999;4;0;0;4;0;0;0;0;0;58;0;5;0;0;6;0;4;13;4729;0;129;0;0
10;2019;0;9999;4;1;0;2;-6;1;0;0;0;63;0;7;0;0;2;2;4;9;4949;715;323;0;0
10;2020;0;9999;13;2;5;2;-4;2;0;0;0;67;1;39;0;0;8;6;7;45;17473;1144;1309;0;0
10;2021;0;9999;17;5;7;2;2;2;2;0;0;67;2;75;0;0;24;13;8;50;21813;2144;549;0;0
11;2019;0;9999;4;0;1;0;0;0;0;0;0;59;0;3;0;0;2;2;0;8;4809;204;91;0;0
15;2019;0;9999;4;0;0;0;-6;0;0;0;0;55;0;13;0;0;5;1;1;4;4758;187;69;0;0
15;2020;0;9999;13;3;5;0;5;0;0;0;0;57;0;32;0;0;10;6;2;1;16862;570;43;0;0
15;2021;0;9999;17;3;3;0;6;0;0;0;0;57;0;46;0;0;8;7;5;4;15875;0;0;0;0
16;2021;14;9999;20;4;4;2;0;0;0;0;0;56;1;36;27;15;17;7;5;19;20312;330;0;0;0
16;2019;0;9999;4;0;1;0;-3;0;0;0;0;54;0;9;0;0;3;6;1;4;3977;204;28;0;0
16;2020;0;9999;13;3;2;6;2;0;0;0;0;55;0;38;15;10;11;5;0;6;11010;611;281;0;0
20;2019;0;9999;4;1;1;0;-6;0;0;0;0;60;0;7;70;37;1;3;3;5;4843;187;68;0;0
20;2020;0;9999;13;4;6;8;5;0;0;0;0;73;2;52;260;153;12;10;7;21;17081;630;1029;0;0
20;2021;0;9999;17;2;5;2;1;0;0;1;0;66;1;38;302;157;14;10;7;17;21606;591;671;0;0
21;2019;0;9999;4;1;1;0;-7;0;0;0;0;63;0;6;2;1;12;3;2;3;4939;187;134;0;0
21;2020;0;9999;13;6;7;4;5;0;0;0;0;71;1;41;20;8;34;6;5;13;17099;630;1176;0;0
21;2021;0;9999;17;3;7;0;1;0;0;0;0;65;0;46;23;7;44;12;8;18;21446;510;683;0;0
22;2019;0;9999;4;0;3;2;-1;0;2;0;0;71;0;8;93;57;16;4;1;2;4666;732;290;0;0
22;2020;0;9999;13;2;6;4;-2;1;2;0;0;67;0;31;42;24;27;4;3;14;16801;1134;716;0;0
22;2021;0;9999;17;6;7;0;6;1;3;0;0;66;1;48;52;25;50;14;9;7;20415;2182;222;0;0
23;2019;0;9999;4;1;3;0;-1;0;1;0;0;60;0;16;1;0;4;3;1;5;4545;732;78;0;0
23;2020;0;9999;13;9;5;12;2;0;2;0;1;66;1;56;3;1;16;8;5;1;16654;1160;530;0;0
23;2021;0;9999;17;7;11;0;6;0;2;0;0;70;1;69;0;0;24;10;8;4;20213;2182;67;0;0
29;2019;0;9999;4;2;2;4;-1;1;0;0;0;69;0;11;9;5;3;2;3;9;4639;732;134;0;0
29;2020;0;9999;13;2;6;4;12;0;0;0;0;68;1;47;0;0;11;7;11;22;16855;711;370;0;0
29;2021;0;9999;17;3;8;12;8;0;0;0;1;68;2;50;0;0;26;6;8;29;21976;629;424;0;0
40;2021;1;9999;5;0;1;2;-1;0;0;0;0;64;0;9;0;0;6;8;1;15;5678;464;724;0;0
40;2020;1;9999;6;0;3;0;-3;0;1;0;0;65;0;10;0;0;15;4;0;13;8141;833;304;0;0
43;2021;1;9999;5;0;0;0;-2;0;0;0;0;58;0;4;0;0;14;3;0;9;5542;0;319;0;0
43;2020;1;9999;6;1;2;0;-4;0;0;0;0;54;0;9;0;0;15;4;2;6;8248;0;304;0;0
44;2021;1;9999;5;1;1;0;0;0;0;0;0;60;0;17;0;0;7;3;3;4;5739;464;319;0;0
44;2020;1;9999;6;0;2;0;-1;0;0;0;0;62;0;14;0;0;15;2;0;6;8141;833;57;0;0
47;2021;1;9999;5;1;2;0;-3;0;0;0;0;69;1;15;9;5;10;2;2;8;5056;162;797;0;0
47;2020;1;9999;6;2;0;4;-1;0;0;0;0;65;1;14;5;1;13;2;3;6;6776;0;42;0;0
48;2021;1;9999;5;2;2;4;-1;0;0;0;0;59;0;8;0;0;1;2;4;6;4822;593;301;0;0
48;2020;1;9999;6;1;3;0;-3;0;2;0;0;64;0;15;0;0;5;3;1;5;7973;846;166;0;0
50;2020;1;9999;6;1;1;0;-2;0;0;0;0;53;0;8;97;38;7;1;0;1;6453;0;194;0;0
54;2021;1;9999;5;1;0;2;0;0;0;0;0;67;0;10;78;38;6;2;1;6;5816;593;139;0;0
54;2020;1;9999;6;2;0;0;-4;2;0;0;0;67;1;15;133;63;14;1;2;8;7876;846;196;0;0
55;2021;1;9999;5;0;1;2;-2;0;0;0;0;66;0;14;4;2;12;2;0;6;5265;593;15;0;0
55;2020;1;9999;6;2;3;2;-4;1;0;0;0;68;0;24;16;5;9;4;5;7;8011;846;0;0;0
62;2021;1;9999;5;0;2;2;-1;0;0;0;0;60;0;8;9;3;4;2;1;0;5639;0;0;0;0
62;2020;1;9999;6;3;1;0;-2;0;0;0;0;63;0;15;12;3;16;2;2;9;6493;256;195;0;0
70;2021;2;9999;12;2;6;0;3;0;0;0;1;70;1;23;0;0;18;6;9;29;14152;93;342;0;0
70;2019;2;9999;15;4;3;2;10;2;1;0;0;75;0;60;0;0;19;7;13;20;17552;1736;284;0;0
70;2020;2;9999;15;2;4;2;-1;0;0;0;0;75;0;54;0;0;29;5;9;48;18232;2248;687;0;0
71;2021;2;9999;12;1;1;0;-6;0;0;0;0;56;0;19;0;0;20;6;0;7;13919;0;130;0;0
71;2019;2;9999;15;1;2;4;9;0;0;0;0;66;0;31;0;0;23;4;7;14;15391;519;1023;0;0
71;2020;2;9999;15;1;5;9;6;0;0;0;0;64;0;29;0;0;20;3;4;8;13898;442;1168;1;1
74;2021;2;9999;12;3;1;0;3;0;0;1;0;51;1;21;0;0;23;4;1;9;13884;0;224;0;0
74;2019;2;9999;15;5;4;6;11;0;0;0;0;56;2;31;0;0;21;3;5;19;17532;35;947;0;0
74;2020;2;9999;15;1;5;8;0;0;0;0;0;53;0;32;0;0;31;10;3;16;18621;458;1032;0;0
75;2021;2;9999;12;1;3;2;-6;0;0;0;0;62;0;29;0;0;9;2;6;27;13832;489;80;0;0
75;2019;2;9999;15;4;7;13;4;1;1;0;0;69;0;40;0;0;26;5;11;40;16681;1746;334;0;0
75;2020;2;9999;15;3;5;2;-4;0;2;0;0;68;1;65;0;0;22;8;7;50;17898;2237;596;0;0
76;2021;2;9999;12;0;3;2;-5;0;1;0;0;57;0;14;0;0;17;7;2;11;14269;93;565;0;0
76;2019;2;9999;15;3;3;0;5;0;1;0;1;61;1;19;0;0;36;12;7;11;16910;532;1854;0;0
76;2020;2;9999;15;1;5;0;-5;0;0;0;0;58;1;20;0;0;47;10;6;13;18424;5;1553;0;0
78;2021;2;9999;12;2;4;2;1;0;0;0;0;56;1;25;31;6;7;7;7;3;14190;0;297;0;0
78;2019;2;9999;15;6;3;2;10;0;0;0;0;61;2;35;46;13;9;9;4;11;16630;555;1621;0;0
78;2020;2;9999;15;2;9;6;-7;0;0;0;0;62;0;37;53;13;12;3;8;5;18125;627;1676;0;0
79;2021;2;9999;12;2;4;0;-4;0;0;0;0;58;0;21;15;3;26;11;1;1;13828;0;0;0;0
79;2019;2;9999;15;2;7;10;9;0;1;0;0;58;0;30;32;11;51;7;7;4;16089;77;939;0;0
79;2020;2;9999;15;1;6;6;6;0;0;0;0;59;0;33;39;8;22;12;8;6;14490;0;1251;0;0
84;2021;2;9999;12;3;3;5;-3;0;0;0;1;55;2;33;0;0;6;8;2;4;13722;123;45;1;1
84;2019;2;9999;15;3;10;6;11;1;2;0;0;65;0;48;28;13;8;14;6;22;16531;1636;178;0;0
84;2020;2;9999;15;9;4;12;-2;1;1;0;0;63;4;51;26;10;25;12;2;24;17968;2068;64;0;0
86;2021;2;9999;12;3;5;2;-1;0;0;0;0;67;0;45;194;102;15;6;8;0;14340;459;399;0;0
86;2019;2;9999;15;3;8;0;4;0;2;0;0;73;3;46;273;117;31;4;4;2;16755;1621;348;0;0
