PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
0;2019;6;0;11;31859;2;4;1;0;1;38;434;69
1;2019;0;0;43;145335;28;13;1;1;5;86;1127;73
1;2020;0;0;6;21600;6;0;0;0;1;8;64;58
1;2021;0;0;0;0;0;0;0;0;0;0;0;0
33;2019;1;0;44;158519;21;21;2;5;4;126;1298;70
33;2020;1;0;44;158425;29;13;2;3;2;99;1149;71
33;2021;1;0;44;158689;25;17;2;5;5;108;1140;69
35;2019;1;0;7;21757;3;3;0;0;2;17;216;73
35;2020;1;0;6;21600;6;0;0;0;2;5;88;68
35;2021;1;0;6;21900;5;0;1;0;4;3;78;72
66;2019;2;0;6;21600;5;1;0;0;2;9;103;65
66;2020;2;0;6;21854;5;1;0;0;2;8;73;55
66;2021;8;0;3;6462;1;0;0;0;1;3;43;64
67;2019;2;0;44;160323;35;6;3;0;5;94;1103;72
67;2020;2;0;43;155797;32;9;2;0;8;96;1101;71
67;2021;12;0;12;7983;1;0;0;0;0;6;96;56
99;2019;3;0;46;140511;5;34;3;3;1;189;2021;73
99;2020;3;0;46;150482;10;30;2;3;4;145;1851;78
99;2021;3;0;48;153681;10;33;1;2;2;170;2028;77
101;2019;3;0;20;40090;1;7;0;1;0;62;579;60
101;2020;3;0;0;0;0;0;0;0;0;0;0;0
101;2021;9;0;8;24316;6;1;0;0;1;15;104;52
132;2019;4;0;46;160471;21;20;3;2;4;114;1242;67
132;2020;4;0;44;153892;23;17;4;5;4;109;1304;73
132;2021;4;0;42;150283;30;9;3;1;7;101;1219;73
133;2019;4;0;6;20487;4;2;0;0;1;18;111;48
165;2019;5;0;40;144900;32;7;1;0;7;74;975;74
165;2020;6;0;38;101506;0;28;0;0;0;161;1745;71
165;2020;9;0;1;3600;1;0;0;0;0;1;18;66
199;2021;6;0;47;146382;8;36;0;1;2;203;2213;73
199;2019;6;0;44;149417;8;34;1;5;0;154;1686;72
199;2020;5;0;44;154645;25;17;1;0;9;96;963;65
231;2019;7;0;13;42322;4;4;2;1;1;34;359;64
232;2019;7;0;41;140293;17;18;5;3;3;118;1500;77
232;2020;7;0;44;149143;10;32;2;7;3;148;1670;74
232;2021;7;0;45;158692;12;28;4;4;2;150;1818;79
264;2019;8;0;44;154085;27;14;2;3;4;114;1156;66
264;2020;8;0;44;155990;21;19;4;4;2;144;1314;64
264;2021;8;0;44;157978;26;13;5;3;4;111;1299;73
297;2019;9;0;21;76282;13;6;2;1;2;44;550;70
297;2020;9;0;46;162792;28;14;3;1;5;124;1378;71
297;2021;9;0;44;155923;33;8;2;2;7;102;1179;71
298;2019;9;0;29;105252;19;7;3;0;2;76;761;66
330;2019;14;0;9;32523;4;4;1;0;1;26;309;75
330;2020;9;0;4;13924;0;4;0;1;0;18;158;56
330;2020;6;0;1;1032;0;0;0;0;0;2;17;48
331;2019;10;0;44;152028;11;29;4;7;1;143;1677;73
331;2020;10;0;44;146282;12;30;2;2;1;168;2000;78
331;2021;10;0;45;152842;11;33;0;7;2;156;2081;81
363;2019;11;0;43;147978;18;23;2;0;3;124;1510;72
363;2020;11;0;43;152048;17;25;1;1;2;136;1522;72
396;2019;12;0;41;145453;22;16;2;3;3;105;1216;72
396;2020;12;0;25;81024;11;12;0;1;1;73;693;64
429;2019;13;0;44;159208;32;8;4;0;4;105;1041;63
429;2020;13;0;36;129420;20;16;0;1;3;88;1051;74
429;2021;13;0;42;146638;17;22;2;0;3;118;1286;69
430;2019;13;0;7;21721;3;3;0;0;0;14;120;56
430;2020;13;0;16;51345;13;1;0;0;3;25;330;70
430;2021;13;0;11;34333;2;7;0;0;1;40;363;64
462;2020;4;0;3;9978;2;0;0;0;1;5;62;68
462;2021;0;0;6;21600;6;0;0;0;3;5;74;67
463;2019;14;0;42;149846;25;13;3;1;5;95;1235;75
463;2020;14;0;40;145169;23;13;4;3;2;112;1156;67
463;2021;14;0;40;144941;25;11;4;0;2;100;1207;73
495;2019;15;0;15;40350;2;8;0;3;0;39;439;67
495;2020;15;0;8;24693;2;4;0;2;0;17;226;70
495;2021;15;0;9;29866;6;0;0;0;1;14;202;72
497;2019;15;0;41;139688;7;33;0;1;1;151;1609;71
497;2020;15;0;44;157389;24;15;5;1;1;118;1443;75
497;2021;15;0;44;151446;22;19;3;4;1;123;1443;73
528;2019;11;0;5;7006;0;0;0;0;0;7;73;55
528;2020;11;0;2;3100;0;0;0;0;0;2;41;68
529;2019;8;0;9;27548;4;0;3;1;0;16;144;58
529;2020;8;0;9;25270;5;0;1;0;1;9;106;58
530;2019;10;0;10;29170;1;4;1;1;0;32;343;71
530;2020;10;0;13;31845;1;4;1;0;0;41;398;65
530;2021;10;0;8;27730;1;5;0;0;0;28;423;87
531;2019;12;0;11;35206;5;4;1;0;1;24;308;72
531;2020;12;0;28;92914;14;10;1;0;0;86;803;63
531;2021;2;0;6;21600;6;0;0;0;1;8;84;63
532;2019;0;0;12;34765;7;1;0;1;1;21;192;59
564;2020;7;0;1;3600;1;0;0;0;0;1;18;66
565;2019;11;0;7;25445;4;2;1;0;0;17;208;75
565;2020;11;0;7;25654;2;4;1;0;0;27;289;77
565;2021;11;0;46;158354;21;20;2;2;3;139;1430;67
594;2020;6;0;5;15384;0;5;0;0;0;25;222;64
595;2020;12;0;2;7485;2;0;0;0;0;5;64;74
595;2021;12;0;50;173638;15;32;2;5;3;196;1984;71
596;2020;2;0;1;3600;1;0;0;0;0;2;17;55
596;2021;2;0;44;158705;27;14;3;2;4;97;1083;69
627;2019;5;0;10;36255;10;0;0;0;4;7;166;75
627;2020;5;0;8;25683;3;4;0;2;2;15;139;58
627;2021;5;0;7;22962;4;1;1;0;1;14;166;68
629;2021;5;0;44;158992;23;15;6;0;3;108;1503;79
630;2020;4;0;5;17413;4;0;0;0;1;7;72;61
630;2021;4;0;10;31817;6;1;1;0;1;15;207;70
660;2020;3;0;11;29801;1;7;0;1;0;46;397;60
660;2021;3;0;14;26283;0;6;0;0;0;48;420;58
661;2021;8;0;5;18300;4;0;1;0;3;3;71;79
663;2021;6;0;22;33884;0;6;0;0;0;56;556;57
663;2020;6;0;30;61979;0;17;0;1;0;120;1056;59
728;2020;10;0;1;2727;0;0;0;0;0;5;30;41
738;2020;14;0;10;35899;7;3;0;0;0;23;223;60
738;2021;14;0;10;36391;9;0;1;0;2;20;189;63
828;2020;7;0;11;27402;4;1;0;1;2;24;222;59
828;2021;7;0;9;23445;2;4;0;2;1;22;167;52
834;2020;0;0;44;158598;35;7;2;1;8;84;971;68
834;2021;0;0;44;157983;34;10;0;5;5;88;1050;71
903;2021;11;0;10;23321;2;4;1;0;0;27;290;62
