PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
36;4;4;56;3231;14;38;2;2543;2332;211;3.92;1;.917;80
66;15;15;12;725;11;0;1;217;199;18;1.49;1;.917;64
67;12;12;17;679;0;11;1;494;433;61;5.39;0;.877;58
99;3;3;54;3253;34;14;6;1735;1594;141;2.60;4;.919;78
100;2;2;18;1081;13;4;1;361;325;36;2.00;3;.900;64
132;21;21;29;1465;15;7;0;889;823;66;2.70;0;.926;78
134;6;6;56;3184;26;21;6;1793;1642;151;2.85;4;.916;74
135;1;1;54;3186;36;16;2;1660;1526;134;2.52;7;.919;75
232;7;7;49;2948;32;16;1;1737;1598;139;2.83;3;.920;78
264;8;8;39;2303;23;11;4;1178;1087;91;2.37;4;.923;74
331;10;10;49;2908;16;28;4;1926;1761;165;3.40;1;.914;77
429;13;13;56;3319;30;22;3;2074;1900;174;3.14;3;.916;78
432;4;4;7;367;4;2;0;271;246;25;4.08;1;.908;68
496;3;3;13;731;8;4;0;335;302;33;2.71;0;.901;63
497;20;20;57;3151;19;30;5;1957;1767;190;3.62;4;.903;71
563;21;21;45;2517;15;26;3;1578;1435;143;3.41;1;.909;70
564;5;5;49;2899;18;26;5;1819;1646;173;3.58;2;.905;71
565;11;11;45;2476;10;30;2;1955;1795;160;3.88;4;.918;76
566;19;19;56;3090;24;22;6;1699;1537;162;3.14;1;.905;68
595;15;15;54;3263;32;19;3;1623;1483;140;2.57;4;.914;76
596;2;2;48;2887;36;11;1;1342;1220;122;2.54;5;.909;70
627;18;18;13;699;8;3;1;367;334;33;2.83;1;.910;72
629;5;5;19;1098;9;5;3;629;572;57;3.11;1;.909;71
630;18;18;55;3292;26;24;4;1781;1635;146;2.66;4;.918;75
660;4;4;7;372;1;5;0;254;223;31;4.99;0;.878;57
661;8;8;29;1686;15;10;3;999;920;79;2.81;2;.921;79
663;6;6;20;814;3;10;0;455;407;48;3.54;0;.895;59
738;14;14;19;911;3;9;2;789;717;72;4.74;0;.909;71
834;0;0;55;3290;40;9;5;1599;1454;145;2.64;2;.909;73
903;20;20;18;826;3;9;0;571;504;67;4.86;0;.883;60
905;13;13;17;654;9;2;0;321;291;30;2.75;1;.907;61
1001;9;9;17;833;5;5;2;455;406;49;3.53;1;.892;60
1091;0;0;13;706;11;1;0;195;175;20;1.70;2;.897;60
1097;7;7;18;1046;15;1;1;423;398;25;1.43;3;.941;76
1142;11;11;28;1506;7;14;3;1189;1094;95;3.78;1;.920;78
1268;12;12;59;3309;20;30;4;2219;2028;191;3.46;0;.914;75
1374;9;9;56;3161;29;21;4;1774;1611;163;3.09;2;.908;72
1409;1;1;14;791;9;3;0;266;230;36;2.73;0;.865;52
1413;14;14;55;3070;11;41;0;2410;2172;238;4.65;0;.901;72
1739;10;10;20;1106;13;3;2;544;498;46;2.49;2;.915;70
1754;19;19;18;907;7;4;3;477;424;53;3.50;1;.889;62
