PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning
0;20;0;0;0;0;0;8;1;15;15;15;1;15;12;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;13;12;7;10;10;10;11;9;11;10;12;0;0;8;0;1;10;15;0;9;12
4;0;19;20;5;5;5;5;13;15;15;15;15;15;1;1;15;14;15;13;15;15;5;5;15;17;17;11;14;15;15;5;11;11;14;15;15;1;1;1;1;1;1;1;1;1;1;1;14;12;14;13;9;17;15;13;0;0
5;0;20;14;5;5;5;5;12;15;15;15;15;15;1;1;15;15;14;16;12;11;5;5;12;12;14;9;13;14;14;5;11;16;15;12;14;1;1;1;1;1;1;1;1;1;1;1;15;11;12;14;8;16;15;15;0;0
6;0;20;19;5;5;5;5;9;15;15;15;15;15;1;1;14;12;17;13;17;17;5;5;16;17;17;9;13;16;17;5;13;13;5;16;17;1;1;1;1;1;1;1;1;1;1;1;14;11;14;12;9;18;15;15;0;0
8;0;14;20;5;5;5;5;12;15;15;15;15;15;1;1;12;12;15;16;14;12;5;5;12;16;16;9;13;16;13;5;10;15;12;12;16;1;1;1;1;1;1;1;1;1;1;1;14;11;13;13;8;17;15;15;0;0
10;0;19;20;5;5;5;5;13;15;15;15;15;15;1;1;16;17;18;16;17;18;5;5;16;18;18;12;16;17;18;5;13;18;17;18;18;1;1;1;1;1;1;1;1;1;1;1;16;14;14;17;10;18;15;18;0;0
11;0;20;19;5;5;5;5;10;15;15;15;15;15;1;1;15;16;18;15;18;18;5;5;15;17;17;11;15;15;18;5;15;18;15;18;18;1;1;1;1;1;1;1;1;1;1;1;16;13;14;17;10;19;15;18;0;0
16;0;5;5;19;20;19;5;5;15;15;15;15;15;1;1;16;16;15;16;15;16;5;15;16;17;17;16;12;17;15;12;12;16;5;12;15;1;1;1;1;1;1;1;1;1;1;1;15;20;14;12;10;17;15;16;0;0
17;0;5;5;20;12;14;5;5;15;15;15;15;15;1;1;11;11;10;11;5;5;5;5;11;6;11;11;5;11;7;5;5;7;5;7;9;1;1;1;1;1;1;1;1;1;1;1;10;10;10;6;5;12;15;11;0;0
20;0;5;5;19;20;19;5;11;15;15;15;15;15;1;1;16;12;17;16;17;19;5;9;19;19;19;17;9;19;17;14;9;12;11;17;18;1;1;1;1;1;1;1;1;1;1;1;16;17;14;14;10;18;15;19;0;0
21;0;5;5;19;20;19;5;11;15;15;15;15;15;1;1;16;15;17;15;17;17;5;13;17;16;17;16;9;17;18;14;11;16;5;17;17;1;1;1;1;1;1;1;1;1;1;1;16;17;13;14;11;18;15;17;0;0
22;0;5;5;19;20;19;5;13;15;15;15;15;15;1;1;15;14;18;15;17;19;5;15;18;18;19;17;9;18;19;15;15;15;9;17;18;1;1;1;1;1;1;1;1;1;1;1;16;17;14;15;13;18;15;18;0;0
23;0;5;5;19;19;20;5;13;15;15;15;15;15;1;1;17;15;18;15;17;18;5;13;19;18;18;17;9;19;18;5;13;15;9;18;18;1;1;1;1;1;1;1;1;1;1;1;16;17;14;15;12;18;15;19;0;0
24;0;5;5;19;20;19;5;9;15;15;15;15;15;1;1;15;13;13;13;15;13;5;12;13;13;15;12;9;14;15;13;9;15;10;14;15;1;1;1;1;1;1;1;1;1;1;1;13;15;12;13;9;17;15;13;0;0
29;0;19;20;5;5;5;5;11;15;15;15;15;15;1;1;15;15;18;15;17;18;5;5;17;17;18;12;16;17;18;5;13;15;15;18;18;1;1;1;1;1;1;1;1;1;1;1;16;14;14;16;10;18;15;16;0;0
33;20;0;0;0;0;0;8;1;15;15;15;1;15;16;17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;18;9;9;16;16;18;18;5;16;12;18;0;0;8;0;1;10;15;0;7;18
35;20;0;0;0;0;0;8;1;15;15;15;1;15;13;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;7;7;14;14;13;14;7;13;7;15;0;0;8;0;1;10;15;0;7;14
36;20;0;0;0;0;0;8;1;15;15;15;1;15;17;17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20;11;11;17;18;17;17;11;20;11;20;0;0;8;0;1;10;15;0;11;18
40;0;20;19;5;5;5;5;10;15;15;15;15;15;1;1;15;17;18;15;18;18;5;5;18;18;18;12;17;19;18;5;17;17;17;16;19;1;1;1;1;1;1;1;1;1;1;1;16;14;14;17;11;19;15;18;0;0
43;0;19;20;5;5;5;5;8;15;15;15;15;15;1;1;12;11;16;13;16;17;5;5;15;16;16;9;12;15;17;5;12;15;14;16;17;1;1;1;1;1;1;1;1;1;1;1;13;10;13;15;9;18;15;16;0;0
44;0;20;19;5;5;5;5;10;15;15;15;15;15;1;1;15;15;15;15;17;16;5;5;19;19;19;12;15;19;19;5;13;15;13;15;17;1;1;1;1;1;1;1;1;1;1;1;15;13;14;15;9;18;15;16;0;0
47;0;5;5;20;19;19;5;11;15;15;15;15;15;1;1;15;15;17;16;17;18;5;13;17;17;17;16;11;17;18;5;15;14;9;17;18;1;1;1;1;1;1;1;1;1;1;1;16;19;14;14;12;18;15;17;0;0
48;0;5;5;20;19;19;5;9;15;15;15;15;15;1;1;16;15;17;16;17;18;5;9;18;18;18;16;10;17;18;5;14;15;9;17;18;1;1;1;1;1;1;1;1;1;1;1;16;18;14;14;11;18;15;17;0;0
50;0;5;5;20;19;19;5;8;15;15;15;15;15;1;1;12;10;16;13;15;15;5;7;11;13;15;10;8;12;17;5;9;12;5;15;16;1;1;1;1;1;1;1;1;1;1;1;13;13;12;12;8;17;15;11;0;0
