PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
4;2020;0;9999;13;2;2;2;0;0;0;0;0;54;0;19;0;0;10;6;1;11;10327;0;958;0;0
4;2021;0;9999;17;2;3;7;7;0;0;0;0;55;0;33;0;0;17;10;2;13;14187;0;463;1;0
4;2022;0;9999;23;2;3;0;-3;0;0;0;0;55;0;25;0;0;15;8;4;25;13883;0;753;0;0
6;2019;0;9999;4;0;2;0;-6;0;1;0;0;67;0;14;0;0;10;0;3;4;4946;715;408;0;0
6;2020;0;9999;13;1;5;2;-4;0;1;0;0;73;0;46;0;0;29;4;8;25;17449;1131;1281;0;0
6;2021;0;9999;17;2;4;4;2;0;2;0;0;69;0;56;0;0;40;13;8;38;21902;2144;491;0;0
6;2022;0;9999;23;0;14;8;3;0;0;0;0;67;0;66;0;0;61;25;15;57;33774;547;1314;0;0
6;2023;13;9999;6;1;1;0;3;0;0;0;0;62;0;16;0;0;8;1;1;10;8038;181;551;0;0
6;2024;13;9999;6;0;1;4;-2;0;0;0;0;56;0;14;0;0;8;5;3;17;7867;391;373;0;0
6;2025;12;9999;6;1;7;2;1;0;1;0;0;70;0;14;0;0;5;0;1;14;8254;385;371;0;0
6;2026;2;9999;10;5;3;0;3;1;0;0;0;66;1;19;0;0;9;8;5;0;9339;1170;704;0;0
10;2027;19;9999;5;0;1;2;1;0;0;0;0;64;0;10;0;0;4;3;7;8;6867;664;81;0;0
10;2019;0;9999;4;1;0;2;-6;1;0;0;0;63;0;7;0;0;2;2;4;9;4949;715;323;0;0
10;2020;0;9999;13;2;5;2;-4;2;0;0;0;67;1;39;0;0;8;6;7;45;17473;1144;1309;0;0
10;2021;0;9999;17;5;7;2;2;2;2;0;0;67;2;75;0;0;24;13;8;50;21813;2144;549;0;0
10;2025;19;9999;10;1;3;0;-5;0;1;0;0;65;0;28;0;0;12;1;3;27;13503;235;541;0;0
10;2026;19;9999;7;1;3;0;3;0;0;0;1;65;0;18;0;0;10;2;5;29;9647;83;692;0;0
11;2027;9;9999;14;1;3;0;-2;0;0;0;0;62;1;31;0;0;31;8;7;31;16220;0;909;0;0
11;2019;0;9999;4;0;1;0;0;0;0;0;0;59;0;3;0;0;2;2;0;8;4809;204;91;0;0
11;2025;19;9999;10;0;3;8;-4;0;0;0;0;59;0;12;0;0;12;5;9;18;13101;235;399;0;0
11;2026;19;9999;7;1;2;0;3;0;0;0;0;66;0;19;0;0;17;3;6;10;9534;0;652;0;0
16;2019;0;9999;4;0;1;0;-3;0;0;0;0;54;0;9;0;0;3;6;1;4;3977;204;28;0;0
16;2020;0;9999;13;3;2;6;2;0;0;0;0;55;0;38;15;10;11;5;0;6;11010;611;281;0;0
16;2021;14;9999;20;4;4;2;0;0;0;0;0;56;1;36;27;15;17;7;5;19;20312;330;0;0;0
16;2022;14;9999;5;1;3;2;-3;0;0;0;0;54;0;13;4;4;2;5;1;2;6320;69;0;0;0
16;2023;14;9999;5;0;0;7;-2;0;0;0;0;56;0;5;5;2;7;2;1;10;6032;97;0;1;1
20;2027;18;9999;4;1;0;2;-5;0;0;0;0;57;0;6;77;27;3;1;3;3;4905;76;0;0;0
20;2019;0;9999;4;1;1;0;-6;0;0;0;0;60;0;7;70;37;1;3;3;5;4843;187;68;0;0
20;2020;0;9999;13;4;6;8;5;0;0;0;0;73;2;52;260;153;12;10;7;21;17081;630;1029;0;0
20;2021;0;9999;17;2;5;2;1;0;0;1;0;66;1;38;302;157;14;10;7;17;21606;591;671;0;0
20;2022;0;9999;23;10;15;4;12;0;1;0;0;70;2;97;539;294;23;11;6;34;31941;1213;1532;0;0
20;2023;0;9999;17;6;13;0;3;0;0;0;0;73;0;59;359;195;21;8;11;29;20369;1681;1043;0;0
20;2024;0;9999;21;5;9;2;6;2;2;0;0;68;1;85;392;229;10;12;6;14;24632;2654;519;0;0
20;2025;0;9999;19;8;12;2;13;0;1;0;1;70;0;59;374;204;16;5;14;21;21631;642;783;0;0
21;2019;0;9999;4;1;1;0;-7;0;0;0;0;63;0;6;2;1;12;3;2;3;4939;187;134;0;0
21;2020;0;9999;13;6;7;4;5;0;0;0;0;71;1;41;20;8;34;6;5;13;17099;630;1176;0;0
21;2021;0;9999;17;3;7;0;1;0;0;0;0;65;0;46;23;7;44;12;8;18;21446;510;683;0;0
21;2022;0;9999;23;8;9;4;12;0;0;0;0;66;0;84;7;2;66;16;5;21;31915;986;905;0;0
21;2023;0;9999;17;8;3;2;5;0;0;0;0;65;1;53;22;7;38;9;6;19;21412;386;982;0;0
21;2024;0;9999;21;4;9;4;6;0;0;0;0;61;0;38;18;6;44;18;13;20;24920;23;131;0;0
21;2025;0;9999;19;7;10;4;16;0;0;0;0;63;1;39;21;11;40;10;4;10;21409;0;714;0;0
21;2026;0;9999;22;7;11;6;20;0;0;0;0;64;2;49;347;174;23;13;5;6;24874;0;878;0;0
22;2027;2;9999;19;6;15;0;17;0;0;0;0;69;1;62;336;174;34;5;7;1;22163;409;867;0;0
22;2019;0;9999;4;0;3;2;-1;0;2;0;0;71;0;8;93;57;16;4;1;2;4666;732;290;0;0
22;2020;0;9999;13;2;6;4;-2;1;2;0;0;67;0;31;42;24;27;4;3;14;16801;1134;716;0;0
22;2021;0;9999;17;6;7;0;6;1;3;0;0;66;1;48;52;25;50;14;9;7;20415;2182;222;0;0
22;2022;2;9999;18;6;13;0;7;1;4;0;0;73;0;56;393;197;40;11;10;15;20927;2641;487;0;0
22;2023;2;9999;14;5;9;5;0;2;2;0;0;71;2;63;255;131;29;8;5;11;15910;2221;241;1;0
22;2024;2;9999;19;6;17;7;-4;1;6;0;0;70;2;56;358;179;48;9;3;25;21518;2190;462;1;0
22;2025;19;9999;10;6;3;0;-2;0;0;0;0;68;1;42;214;101;25;4;4;7;13243;882;563;0;0
22;2026;2;9999;10;1;7;0;-2;0;1;0;0;64;0;26;191;100;15;9;3;7;11004;720;607;0;0
23;2027;0;9999;9;1;4;2;-5;0;0;0;0;56;0;20;4;3;10;11;2;12;10126;158;40;0;0
23;2019;0;9999;4;1;3;0;-1;0;1;0;0;60;0;16;1;0;4;3;1;5;4545;732;78;0;0
23;2020;0;9999;13;9;5;12;2;0;2;0;1;66;1;56;3;1;16;8;5;1;16654;1160;530;0;0
23;2021;0;9999;17;7;11;0;6;0;2;0;0;70;1;69;0;0;24;10;8;4;20213;2182;67;0;0
23;2022;0;9999;23;7;23;2;7;0;0;0;0;70;1;105;24;7;21;14;14;13;32779;1213;459;0;0
23;2023;0;9999;17;9;5;0;2;2;0;0;0;67;3;70;0;0;27;14;1;1;20300;1681;228;0;0
23;2024;0;9999;21;3;12;4;4;0;4;0;0;66;0;85;3;0;30;13;9;2;24909;2677;13;0;0
23;2025;0;9999;19;9;14;0;14;3;1;1;0;65;3;65;2;0;9;17;9;6;21403;1659;94;0;0
23;2026;0;9999;22;8;15;18;17;2;0;0;0;65;1;70;3;2;28;20;9;19;24596;688;1337;0;0
29;2019;0;9999;4;2;2;4;-1;1;0;0;0;69;0;11;9;5;3;2;3;9;4639;732;134;0;0
29;2020;0;9999;13;2;6;4;12;0;0;0;0;68;1;47;0;0;11;7;11;22;16855;711;370;0;0
29;2021;0;9999;17;3;8;12;8;0;0;0;1;68;2;50;0;0;26;6;8;29;21976;629;424;0;0
29;2022;0;9999;23;5;9;2;1;1;0;0;0;66;0;70;0;0;21;13;18;27;33599;1267;1558;0;0
29;2023;0;9999;17;1;9;6;4;0;2;0;0;66;0;50;0;0;25;11;7;30;21367;1208;905;0;0
29;2024;0;9999;21;5;4;4;3;1;1;0;0;65;1;72;0;0;23;11;14;28;25683;2734;958;0;0
29;2025;0;9999;19;3;3;2;0;0;0;0;0;57;0;31;1;0;16;11;7;16;19209;0;1192;0;0
29;2026;0;9999;22;4;8;4;13;0;0;0;0;55;1;70;0;0;32;17;9;38;27684;113;1468;0;0
40;2027;1;9999;11;3;7;2;6;0;0;0;0;63;0;32;0;0;19;8;7;22;12789;1008;582;0;0
40;2020;1;9999;6;0;3;0;-3;0;1;0;0;65;0;10;0;0;15;4;0;13;8141;833;304;0;0
40;2021;1;9999;5;0;1;2;-1;0;0;0;0;64;0;9;0;0;6;8;1;15;5678;464;724;0;0
40;2022;1;9999;16;2;11;0;6;0;3;0;0;68;2;49;0;0;31;15;7;36;19337;1479;716;0;0
40;2023;1;9999;24;1;8;11;2;0;0;0;0;65;1;83;0;0;39;27;13;48;29493;2767;1448;1;0
40;2025;1;9999;16;6;2;4;-1;0;1;0;0;69;1;56;0;0;24;19;9;21;20189;2003;230;0;0
