PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
4;2019;11;0;7;1;2;4;2;0;0;0;0;60;0;12;0;0;3;6;3;5;6762;771;986;0;0
4;2020;0;0;7;0;3;2;2;0;0;0;0;56;0;12;0;0;5;3;3;3;5905;59;375;0;0
4;2021;0;0;7;2;0;6;-2;0;0;0;0;55;0;14;0;0;4;1;0;14;5849;0;525;0;0
4;2022;0;0;7;0;3;2;-1;0;0;0;0;62;0;11;0;0;11;3;2;9;6782;17;254;0;0
4;2023;9;0;7;0;2;2;2;0;0;0;0;57;0;5;0;0;7;2;2;5;6802;0;416;0;0
6;2019;0;0;7;4;4;8;1;0;1;0;0;68;0;24;0;0;16;6;8;7;8386;1044;796;0;0
6;2020;0;0;7;2;2;4;11;1;0;0;0;70;0;29;0;0;13;8;4;8;8374;451;470;0;0
6;2021;0;0;7;2;3;2;-2;0;1;0;0;71;0;22;0;0;10;2;3;13;8105;969;858;0;0
6;2022;0;0;7;0;1;11;1;0;0;0;0;74;0;19;0;0;16;3;5;9;8700;371;261;1;0
6;2023;13;0;3;0;1;0;-1;0;0;0;0;56;0;2;0;0;3;2;4;5;3670;0;100;0;0
6;2024;13;0;7;0;2;0;-4;0;0;0;0;60;0;10;0;0;18;4;6;8;8585;345;704;0;0
6;2025;12;0;7;2;1;0;-5;0;0;0;0;61;0;11;0;0;17;9;4;27;8589;305;631;0;0
6;2026;2;0;7;0;1;4;-3;0;0;0;0;54;0;11;0;0;10;4;5;1;7058;1;521;0;0
10;2019;0;0;7;1;3;4;1;1;1;0;0;64;0;25;0;0;3;3;2;13;7932;1044;739;0;0
10;2020;0;0;7;1;3;4;10;1;1;0;0;66;0;23;0;0;4;2;7;5;7992;1421;464;0;0
10;2021;0;0;7;1;3;2;-2;0;0;0;0;68;0;23;0;0;9;3;5;22;8048;961;920;0;0
10;2022;19;0;7;0;2;12;-6;0;1;0;0;68;0;18;0;0;17;0;4;24;8114;952;398;0;0
10;2023;19;0;7;1;4;2;0;0;1;0;0;70;0;22;0;0;15;3;9;27;8196;1163;714;0;0
10;2024;19;0;7;0;1;2;1;0;0;0;0;70;0;14;0;0;14;1;8;29;9022;1021;555;0;0
10;2025;19;0;7;2;0;0;1;0;0;0;0;66;0;16;0;0;5;7;7;22;8696;279;525;0;0
10;2026;19;0;7;2;2;12;4;0;0;0;0;64;1;22;0;0;10;4;5;15;7882;548;785;0;0
