PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel
6;2;2;10;5;3;3;0;1;0;0;0;0;0;9;8;5;0;66;54;76;19;9339;1170;704;103.2;3.9;2.7;36.6;36.6;164;171;49.0;-6.0;126;132;48.8;-4.4
10;19;19;7;1;3;3;0;0;0;0;1;0;0;10;2;5;29;65;61;67;18;9647;83;692;104.1;2.6;1.5;32.1;36.6;140;196;41.7;0.5;114;137;45.4;3.3
11;19;19;7;1;2;3;0;0;0;0;0;0;0;17;3;6;10;66;56;70;19;9534;0;652;104.0;2.6;1.5;32.5;36.2;139;192;42.0;1.0;114;134;46.0;4.1
21;0;0;22;7;11;20;6;0;0;0;0;0;0;23;13;5;6;64;68;55;49;24874;0;878;103.5;5.2;2.3;41.7;25.8;549;341;61.7;-1.5;401;253;61.3;-2.6
22;2;2;10;1;7;-2;0;0;1;0;0;0;0;15;9;3;7;64;71;50;26;11004;720;607;96.8;3.9;4.6;41.2;36.0;237;184;56.3;4.8;173;147;54.1;3.3
23;0;0;22;8;15;17;18;2;0;0;0;0;0;28;20;9;19;65;71;56;70;24596;688;1337;101.6;4.4;2.0;45.2;25.3;604;330;64.7;3.0;434;239;64.5;2.1
29;0;0;22;4;8;13;4;0;0;0;0;0;0;32;17;9;38;55;53;55;70;27684;113;1468;101.3;3.8;2.1;45.1;29.5;615;414;59.8;-4.7;464;307;60.2;-4.7
40;1;1;23;5;10;-1;2;0;2;0;1;0;0;38;18;12;62;66;67;63;53;27288;1847;931;98.3;3.0;3.2;35.5;31.0;521;443;54.0;2.3;377;333;53.1;1.1
43;1;1;23;0;5;6;0;0;0;0;0;0;0;12;10;3;3;49;50;48;43;23666;0;460;103.3;3.3;2.4;33.5;36.4;428;418;50.6;-2.7;307;328;48.3;-5.7
44;1;1;23;1;10;8;8;0;0;0;0;0;0;79;13;4;19;63;58;64;60;23853;0;358;102.0;3.6;2.4;41.7;36.1;499;458;52.1;-0.5;375;332;53.0;1.0
