PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel
6;2;2;66;9;20;34;24;0;0;0;0;0;0;71;24;13;6;68;57;74;154;71361;62;4026;99.8;4.5;2.8;46.7;28.1;1733;1067;61.9;-3.0;1262;769;62.1;-2.3
10;19;19;66;15;26;14;10;2;1;0;1;0;0;91;32;40;194;65;60;68;205;83328;2801;6225;100.3;3.2;2.7;37.0;32.1;1558;1423;52.3;-1.6;1213;1048;53.6;-0.2
11;19;19;66;4;21;-12;26;0;0;0;1;0;0;119;22;59;96;59;53;62;106;69909;396;5875;96.8;2.7;3.5;36.6;32.3;1301;1204;51.9;-2.0;996;868;53.4;-0.5
16;14;14;66;12;21;-49;26;1;2;0;0;0;0;66;24;16;29;59;62;53;104;77678;3019;2908;101.0;2.0;4.3;20.5;48.2;840;1998;29.6;-4.3;626;1491;29.6;-4.4
20;20;20;66;20;38;-34;18;6;17;1;0;0;0;45;30;16;42;68;71;61;200;72071;9177;5214;96.7;2.4;4.1;30.7;37.4;1168;1392;45.6;0.4;853;1030;45.3;0.5
21;0;0;66;15;32;32;18;0;0;0;0;0;0;65;35;23;13;65;69;57;187;68392;174;3076;101.0;4.2;2.5;43.4;29.4;1537;1038;59.7;-5.9;1130;767;59.6;-5.6
22;2;2;64;23;39;-7;24;3;13;1;2;0;0;112;33;23;22;69;76;57;229;73686;8841;2582;96.4;2.6;2.9;38.4;27.6;1494;1087;57.9;-0.4;1115;783;58.7;0.2
23;0;0;66;21;37;56;12;0;4;0;1;0;0;77;41;32;33;66;73;56;214;73910;3402;4809;102.4;4.8;2.0;46.2;25.5;1817;976;65.1;2.0;1315;726;64.4;1.6
29;0;0;66;7;23;21;24;0;0;0;0;0;0;87;24;36;149;58;57;57;155;68878;51;5046;99.8;4.1;3.0;41.4;29.6;1553;1034;60.0;-5.4;1107;767;59.1;-6.3
40;1;1;66;21;28;21;14;8;7;0;0;0;0;84;50;34;133;66;64;67;260;70480;11357;4840;98.7;3.8;2.7;45.4;27.7;1628;1012;61.7;0.5;1219;752;61.8;0.7
43;1;1;66;6;21;21;6;0;0;0;0;0;0;30;31;10;23;50;51;48;126;69140;102;1098;99.3;3.6;2.6;44.5;28.6;1613;1016;61.4;-0.0;1179;748;61.2;-0.3
44;1;1;66;10;32;40;42;0;0;0;0;0;0;160;65;11;48;60;59;60;181;69872;193;1377;101.8;4.2;2.2;44.6;28.2;1566;1012;60.7;-0.9;1164;746;60.9;-0.6
47;1;1;66;12;27;8;14;0;0;0;0;0;0;95;45;19;49;60;62;52;163;67118;9;6035;96.5;3.2;2.8;44.9;26.1;1580;964;62.1;1.1;1184;685;63.3;2.9
48;1;1;66;8;38;11;2;0;0;0;1;0;0;7;32;25;40;65;73;54;180;69960;0;3061;98.0;3.6;3.1;43.7;30.1;1540;1008;60.4;-1.4;1143;778;59.5;-2.8
52;6;6;66;13;27;9;24;0;1;0;0;0;0;58;38;19;25;62;70;52;156;70604;2247;2285;100.5;3.0;2.5;34.6;31.3;1250;1126;52.6;-1.4;952;835;53.3;-0.7
54;1;1;66;38;51;61;14;7;13;1;0;0;0;50;49;22;51;66;73;56;251;73438;11094;3371;104.2;4.8;1.8;45.0;27.8;1686;1063;61.3;-0.0;1232;779;61.3;-0.1
55;1;1;66;19;45;63;8;2;1;0;0;0;0;96;43;26;11;60;65;52;228;73179;2816;2924;104.6;4.9;1.7;45.0;27.8;1691;1064;61.4;0.0;1232;779;61.3;-0.1
64;9;9;66;17;25;20;24;0;2;0;0;0;0;64;40;26;23;59;65;52;172;66716;2832;849;101.6;3.8;2.6;38.3;32.0;1342;1056;56.0;1.5;985;816;54.7;-0.0
75;19;19;66;15;35;5;16;6;8;0;0;0;0;100;25;25;36;60;63;55;215;76452;10353;1658;98.8;3.4;3.0;36.6;28.0;1507;1131;57.1;5.9;1097;844;56.5;4.2
76;2;2;66;19;37;20;16;4;15;2;0;0;0;123;32;48;154;67;64;68;237;71177;12254;4589;99.4;3.4;2.2;41.4;25.0;1593;984;61.8;-3.0;1187;739;61.6;-3.0
86;2;2;66;39;55;35;24;11;15;0;0;0;0;95;35;13;1;72;82;58;301;71247;11728;372;98.7;4.7;2.7;47.3;23.6;1747;880;66.5;4.0;1310;662;66.4;4.1
87;2;2;66;15;36;36;14;0;0;0;0;0;0;93;51;22;87;58;62;51;175;70965;229;4320;98.3;4.5;2.8;46.6;24.5;1680;916;64.7;1.3;1259;684;64.8;1.7
89;0;0;66;23;46;41;12;1;4;0;0;0;0;128;53;28;88;69;76;58;216;77394;3642;5025;99.5;4.4;2.4;46.9;24.6;1901;980;66.0;3.5;1381;720;65.7;3.6
98;2;2;66;19;49;47;30;3;16;0;1;0;0;119;40;29;104;72;60;79;250;70335;12326;3273;100.4;4.9;2.3;47.2;22.7;1777;833;68.1;6.3;1305;624;67.7;5.9
105;9;9;66;7;25;3;32;0;2;0;0;0;0;83;21;24;77;69;69;67;163;74510;3238;4891;99.0;3.7;3.5;35.9;31.1;1451;1164;55.5;0.8;1069;889;54.6;-0.2
107;6;6;66;6;12;-2;10;0;0;0;0;0;0;93;27;20;126;55;52;57;104;69417;21;3558;98.8;2.9;3.1;35.4;32.7;1240;1217;50.5;-4.6;934;892;51.2;-3.9
111;21;21;66;9;17;-30;38;2;5;0;0;0;0;169;60;27;143;65;53;74;150;76099;10824;5354;99.0;2.2;3.5;26.6;37.8;1118;1538;42.1;-7.4;801;1128;41.5;-8.5
122;3;3;66;14;27;12;12;3;1;0;1;0;0;115;36;31;29;63;60;59;165;73719;2612;5612;99.0;3.0;2.5;37.2;27.1;1463;1050;58.2;5.3;1061;797;57.1;4.6
123;11;11;66;4;15;-50;22;1;0;0;0;0;0;52;15;33;106;57;56;55;58;65401;2511;4306;99.4;1.5;4.3;17.1;44.7;621;1548;28.6;-4.5;466;1126;29.3;-3.7
