PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
3;2023;1;9999;1;3600;0;1;0;0;0;3;32;64
3;2019;9;9999;0;0;0;0;0;0;0;0;0;0
3;2020;1;9999;1;1669;0;0;0;0;0;1;13;57
3;2021;1;9999;17;67103;11;5;1;2;1;45;520;68
3;2022;1;9999;11;39898;4;7;0;0;0;42;403;72
69;2020;4;9999;0;0;0;0;0;0;0;0;0;0
69;2021;4;9999;1;46;0;0;0;0;0;1;1;41
99;2023;14;9999;4;14618;0;3;1;0;0;15;121;61
99;2021;14;9999;2;6964;0;2;0;0;0;11;81;57
99;2022;14;9999;2;7464;1;1;0;0;0;6;74;73
135;2023;2;9999;0;0;0;0;0;0;0;0;0;0
166;2023;6;9999;6;21288;2;4;0;1;1;24;169;56
166;2022;6;9999;11;39952;5;5;1;1;1;30;316;68
168;2023;2;9999;5;17904;1;4;0;0;0;18;190;72
168;2022;2;9999;1;99;0;0;0;0;0;0;1;50
198;2023;1;9999;6;21529;3;3;0;1;1;19;185;64
198;2021;1;9999;0;0;0;0;0;0;0;0;0;0
198;2022;1;9999;0;0;0;0;0;0;0;0;0;0
200;2023;4;9999;11;39549;6;5;0;0;2;32;316;63
200;2022;4;9999;0;0;0;0;0;0;0;0;0;0
201;2023;15;9999;13;47530;7;4;2;0;0;34;347;66
201;2021;15;9999;10;33846;4;6;0;0;0;28;352;74
201;2022;15;9999;6;21455;2;4;0;1;0;18;194;70
202;2023;8;9999;11;36706;4;7;0;1;1;29;297;66
202;2020;8;9999;7;22379;3;3;1;0;0;24;220;61
202;2021;8;9999;4;15155;0;3;1;0;0;14;122;58
202;2022;8;9999;7;26026;3;4;0;0;0;21;237;70
232;2023;3;9999;14;51236;9;5;0;1;1;38;447;75
232;2022;3;9999;1;3600;1;0;0;0;1;0;23;97
233;2021;0;9999;1;1349;0;0;0;0;0;1;7;47
233;2022;0;9999;0;0;0;0;0;0;0;0;0;0
233;2023;0;9999;15;54535;11;3;1;1;1;28;385;72
234;2023;9;9999;5;17945;1;4;0;0;1;19;185;66
234;2020;9;9999;1;90;0;0;0;0;0;1;2;39
234;2021;9;9999;11;39522;7;4;0;0;1;27;371;79
234;2022;9;9999;12;43709;7;5;0;1;0;38;475;77
263;2021;6;9999;6;26891;2;3;1;0;0;20;194;61
266;2023;14;9999;1;3600;1;0;0;0;0;3;29;57
266;2021;14;9999;3;7403;0;2;0;0;0;6;90;75
266;2022;14;9999;3;10722;0;3;0;0;0;15;113;55
297;2022;5;9999;7;25513;3;2;2;0;0;20;211;66
297;2023;5;9999;20;73135;13;6;1;1;2;56;584;68
333;2019;1;9999;0;0;0;0;0;0;0;0;0;0
333;2022;1;9999;0;0;0;0;0;0;0;0;0;0
363;2019;8;9999;1;2384;0;0;0;0;0;0;19;79
363;2020;8;9999;1;3032;0;0;0;0;0;2;35;84
363;2021;8;9999;0;0;0;0;0;0;0;0;0;0
363;2022;8;9999;0;0;0;0;0;0;0;0;0;0
429;2019;4;9999;0;0;0;0;0;0;0;0;0;0
467;2023;7;9999;1;2424;0;0;0;0;0;3;24;55
467;2022;7;9999;0;0;0;0;0;0;0;0;0;0
509;2021;2;9999;0;0;0;0;0;0;0;0;0;0
509;2022;5;9999;0;0;0;0;0;0;0;0;0;0
516;2023;8;9999;1;2737;0;0;0;0;0;2;20;59
516;2022;6;9999;0;0;0;0;0;0;0;0;0;0
575;2023;7;9999;4;11934;0;4;0;0;0;17;108;44
575;2021;7;9999;0;0;0;0;0;0;0;0;0;0
580;2023;9;9999;0;0;0;0;0;0;0;0;0;0
580;2021;9;9999;0;0;0;0;0;0;0;0;0;0
580;2022;9;9999;0;0;0;0;0;0;0;0;0;0
585;2021;5;9999;0;0;0;0;0;0;0;0;0;0
605;2023;15;9999;0;0;0;0;0;0;0;0;0;0
605;2022;15;9999;0;0;0;0;0;0;0;0;0;0
616;2021;15;9999;1;2597;0;0;0;0;0;4;29;54
617;2023;6;9999;1;88;0;0;0;0;0;0;1;50
627;2023;4;9999;1;705;0;0;0;0;0;4;11;25
731;2023;5;9999;0;0;0;0;0;0;0;0;0;0
771;2023;0;9999;0;0;0;0;0;0;0;0;0;0
956;2023;3;9999;0;0;0;0;0;0;0;0;0;0
265;2019;8;9999;14;49819;7;6;1;0;1;33;378;67
34;2019;1;9999;15;56313;10;4;1;0;1;37;395;68
34;2020;1;9999;12;43083;5;5;2;3;2;29;339;71
167;2019;5;9999;12;46861;5;6;1;1;1;39;369;65
167;2020;5;9999;12;43711;8;4;0;0;1;26;368;77
229;2019;6;9999;4;14400;0;4;0;0;0;14;152;71
229;2020;6;9999;5;11058;1;2;0;1;0;11;101;58
231;2019;7;9999;17;61859;12;3;2;0;3;37;415;69
231;2020;7;9999;7;24877;3;3;1;0;0;23;225;68
299;2019;9;9999;4;14410;0;3;1;1;0;14;165;76
299;2020;9;9999;20;72928;12;7;1;0;2;61;566;63
1;2019;0;9999;6;22868;3;2;1;0;1;14;195;73
1;2020;0;9999;0;0;0;0;0;0;0;0;0;0
1;2021;3;9999;1;213;0;0;0;0;0;1;3;42
165;2019;5;9999;0;0;0;0;0;0;0;0;0;0
165;2020;5;9999;4;14692;2;2;0;0;0;12;146;76
165;2021;5;9999;6;22152;2;3;1;2;0;19;181;65
199;2019;6;9999;0;0;0;0;0;0;0;0;0;0
