PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
2;2022;15;0;0;0;0;0;0;0;0;0;0;0
3;2019;9;0;4;11409;1;2;0;0;0;12;123;62
3;2020;1;0;11;39891;10;0;1;0;2;15;258;74
3;2021;1;0;42;152675;28;10;4;0;8;105;1040;64
3;2022;1;0;37;131419;12;24;1;5;4;115;1268;72
3;2023;1;0;34;116344;20;9;4;2;4;70;925;72
66;2020;2;0;0;0;0;0;0;0;0;0;0;0
68;2020;6;0;0;0;0;0;0;0;0;0;0;0
68;2022;15;0;0;0;0;0;0;0;0;0;0;0
68;2022;6;0;0;0;0;0;0;0;0;0;0;0
68;2023;15;0;0;0;0;0;0;0;0;0;0;0
69;2020;4;0;11;34723;6;3;0;0;1;25;252;63
69;2021;4;0;11;36134;9;1;1;0;0;20;210;60
99;2021;14;0;38;121144;8;28;2;4;1;139;1418;67
99;2022;14;0;25;90551;13;10;2;2;1;75;839;70
99;2023;14;0;49;175106;22;21;5;0;6;131;1480;69
101;2019;9;0;9;23689;0;5;0;0;0;28;240;56
135;2021;14;0;9;14770;0;0;0;0;0;21;175;56
135;2023;2;0;11;38945;8;2;0;1;0;25;338;73
166;2022;6;0;37;133120;18;17;2;3;3;106;1029;63
166;2023;6;0;58;207832;30;22;6;5;3;166;1680;66
168;2022;2;0;11;40078;6;5;0;1;1;37;291;53
168;2023;2;0;56;201708;29;22;5;2;3;140;1811;75
198;2021;1;0;7;22130;5;1;0;0;1;18;141;55
198;2022;1;0;14;49679;5;5;3;1;0;36;379;64
198;2023;1;0;35;123078;17;16;0;3;4;88;1059;71
200;2022;4;0;11;36348;3;3;2;1;1;37;304;57
200;2023;4;0;51;181554;19;26;5;3;1;160;1583;66
201;2021;15;0;23;76433;6;13;0;1;0;83;873;68
201;2022;15;0;37;130491;14;20;3;1;5;105;1174;71
201;2023;15;0;41;142272;31;5;5;0;6;94;1178;72
202;2020;8;0;29;99785;16;11;1;1;2;81;842;66
202;2021;8;0;45;157572;16;25;3;1;1;141;1331;62
202;2022;8;0;44;153055;16;25;3;4;2;143;1589;72
202;2023;8;0;52;189857;19;28;5;3;3;165;1653;67
232;2022;3;0;24;84216;19;4;0;2;3;38;541;73
232;2023;3;0;60;213408;29;24;5;8;4;184;1884;68
233;2021;0;0;10;34311;5;4;0;0;1;22;245;67
233;2022;0;0;26;84785;12;8;3;1;2;61;570;60
233;2023;0;0;53;189283;33;12;7;3;8;106;1329;71
