PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
265;2019;8;9999;14;49819;7;6;1;0;1;33;378;67
34;2019;1;9999;15;56313;10;4;1;0;1;37;395;68
34;2020;1;9999;12;43083;5;5;2;3;2;29;339;71
167;2019;5;9999;12;46861;5;6;1;1;1;39;369;65
167;2020;5;9999;12;43711;8;4;0;0;1;26;368;77
229;2019;6;9999;4;14400;0;4;0;0;0;14;152;71
229;2020;6;9999;5;11058;1;2;0;1;0;11;101;58
231;2019;7;9999;17;61859;12;3;2;0;3;37;415;69
231;2020;7;9999;7;24877;3;3;1;0;0;23;225;68
299;2019;9;9999;4;14410;0;3;1;1;0;14;165;76
299;2020;9;9999;20;72928;12;7;1;0;2;61;566;63
1;2019;0;9999;6;22868;3;2;1;0;1;14;195;73
1;2020;0;9999;0;0;0;0;0;0;0;0;0;0
1;2021;3;9999;1;213;0;0;0;0;0;1;3;42
165;2019;5;9999;0;0;0;0;0;0;0;0;0;0
165;2020;5;9999;4;14692;2;2;0;0;0;12;146;76
165;2021;5;9999;6;22152;2;3;1;2;0;19;181;65
199;2019;6;9999;0;0;0;0;0;0;0;0;0;0
199;2020;6;9999;2;6776;0;2;0;1;0;8;59;51
199;2021;6;9999;0;0;0;0;0;0;0;0;0;0
365;2019;4;9999;7;26607;3;3;1;1;0;22;259;73
365;2020;4;9999;14;51129;7;6;1;0;1;38;420;71
365;2021;4;9999;17;61032;12;5;0;1;4;34;449;73
365;2022;4;9999;17;61804;10;6;1;3;1;39;604;81
398;2019;0;9999;1;3600;0;1;0;0;0;4;33;54
398;2020;0;9999;7;26250;3;3;1;0;0;24;245;65
398;2021;0;9999;7;24699;3;3;1;0;0;28;186;51
398;2022;0;9999;16;57816;10;5;1;0;1;38;375;65
399;2021;2;9999;24;87875;14;7;3;2;1;63;881;81
399;2022;2;9999;12;44243;5;5;2;0;0;36;379;69
400;2021;3;9999;8;29319;4;4;0;1;1;26;233;64
400;2022;3;9999;16;57722;11;5;0;2;1;37;408;70
430;2019;7;9999;0;0;0;0;0;0;0;0;0;0
430;2020;7;9999;1;448;0;0;0;0;0;0;3;51
430;2021;7;9999;4;14338;0;3;1;0;0;15;121;61
430;2022;7;9999;5;18154;1;3;1;0;2;12;211;92
