PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
67;2019;2;0;27;94937;8;16;2;1;0;80;924;70
265;2019;8;0;38;137736;21;15;2;4;2;101;1055;67
34;2019;1;0;44;154124;27;14;3;2;5;104;1110;66
34;2020;1;0;39;141567;22;11;6;0;6;84;983;69
167;2019;5;0;19;67584;9;9;0;1;1;52;565;68
167;2020;5;0;34;114573;19;13;0;0;4;92;944;67
229;2019;6;0;32;111990;11;18;2;2;2;85;940;67
229;2020;6;0;30;107721;15;11;4;1;2;68;753;66
231;2019;7;0;33;119696;26;5;2;0;3;64;648;63
231;2020;7;0;35;125583;17;15;2;3;2;92;1100;73
299;2019;9;0;40;137937;16;21;3;2;2;113;1406;74
299;2020;9;0;44;155529;28;10;5;4;3;105;1149;67
1;2019;0;0;32;110038;20;9;1;1;4;62;756;68
1;2020;0;0;26;83583;8;12;2;1;0;69;701;62
1;2021;3;0;12;32520;3;4;1;0;1;25;298;65
165;2019;5;0;32;113815;18;11;3;0;2;89;899;66
165;2020;5;0;22;63878;8;6;3;1;1;57;577;62
165;2021;5;0;39;136436;19;15;3;6;2;97;1256;74
199;2019;6;0;20;69033;9;9;1;2;2;58;642;71
199;2020;6;0;21;75057;9;10;1;2;1;56;570;65
199;2021;6;0;43;153157;21;17;5;2;0;116;1035;61
365;2019;4;0;43;153418;21;17;4;0;5;114;1415;74
365;2020;4;0;41;146779;28;10;3;0;5;94;1060;69
365;2021;4;0;40;145193;26;8;5;2;6;83;1006;69
365;2022;4;0;42;145476;25;14;3;0;7;99;1153;70
398;2019;0;0;20;71543;9;9;2;2;3;58;443;56
398;2020;0;0;30;97971;14;11;3;0;2;78;838;66
398;2021;0;0;41;146711;30;8;3;1;9;66;992;75
398;2022;0;0;27;96353;17;9;1;1;5;73;683;62
399;2019;2;0;24;86501;9;14;1;4;0;72;835;71
399;2020;2;0;39;138770;14;24;0;3;1;131;1510;74
399;2021;2;0;39;136726;18;17;3;1;2;108;1107;67
399;2022;2;0;39;142991;17;16;6;2;2;115;1198;68
400;2019;3;0;44;158322;13;28;3;5;3;129;1492;72
400;2020;3;0;45;143146;10;31;2;4;4;132;1503;70
400;2021;3;0;42;149653;21;19;2;4;4;107;1317;74
400;2022;3;0;27;96204;20;7;0;1;2;60;648;67
430;2019;7;0;17;61157;15;2;0;0;4;25;343;69
430;2020;7;0;17;54300;5;10;1;1;1;38;469;70
430;2021;7;0;40;139284;10;26;2;5;2;134;1366;70
430;2022;7;0;44;156121;10;31;3;2;2;169;1721;70
