PlayerId;G;LD;RD;LW;C;RW;Aggression;Bravery;Determination;Teamplayer;Leadership;Temperament;Professionalism;Mental Toughness;Goalie Stamina;Acceleration;Agility;Balance;Speed;Stamina;Strength;Fighting;Screening;Getting Open;Passing;Puck Handling;Shooting Accuracy;Shooting Range;Offensive Read;Checking;Faceoffs;Hitting;Positioning;Shot Blocking;Stickchecking;Defensive Read;G Positioning;G Passing;G Pokecheck;Blocker;Glove;Rebound;Recovery;G Puckhandling;Low Shots;G Skating;Reflexes;Skating;Shooting;Playmaking;Defending;Physicality;Conditioning;Character;Hockey Sense;Goalie Technique;Goalie Overall Positioning
2;20;0;0;0;0;0;8;1;15;15;15;1;15;10;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11;10;10;10;10;10;10;10;10;7;10;0;0;8;0;1;10;15;0;10;10
3;20;0;0;0;0;0;7;1;14;14;14;1;14;9;11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;14;9;9;12;13;13;13;9;13;9;14;0;0;8;0;1;10;15;0;10;14
5;0;19;20;19;19;19;5;9;15;15;15;15;15;1;1;10;10;11;10;12;11;5;5;5;11;13;8;10;8;13;5;9;13;13;13;13;1;1;1;1;1;1;1;1;1;1;1;10;9;12;13;7;16;15;13;0;0
6;0;20;19;19;19;19;5;10;15;15;15;15;15;1;1;9;11;11;11;11;11;5;5;9;11;12;11;11;10;12;5;10;12;11;12;12;1;1;1;1;1;1;1;1;1;1;1;10;11;12;11;8;15;15;12;0;0
9;0;20;19;19;19;19;8;9;15;15;15;15;15;1;1;12;11;13;12;13;11;7;7;11;12;12;12;12;11;13;5;10;12;12;13;13;1;1;1;1;1;1;1;1;1;1;1;12;12;12;12;9;16;15;12;0;0
10;0;20;19;19;19;19;6;7;15;15;15;15;15;1;1;12;13;12;13;12;13;10;5;11;12;11;11;11;13;12;5;11;12;11;12;13;1;1;1;1;1;1;1;1;1;1;1;12;11;12;11;8;16;15;12;0;0
12;0;19;20;19;19;19;7;8;15;15;15;15;15;1;1;12;12;12;12;13;12;7;8;12;13;12;12;11;13;13;9;9;11;9;12;13;1;1;1;1;1;1;1;1;1;1;1;12;11;12;11;8;16;15;12;0;0
13;0;19;19;20;19;19;7;7;15;15;15;15;15;15;15;11;11;11;11;13;11;7;11;13;12;11;11;11;12;12;7;11;11;10;10;12;1;1;1;1;1;1;1;1;1;1;1;11;16;12;10;9;16;15;12;0;0
14;0;19;19;20;19;19;5;5;15;15;15;15;15;1;1;10;10;10;10;11;10;5;5;10;11;11;10;10;11;5;5;5;6;5;11;7;1;1;1;1;1;1;1;1;1;1;1;10;15;12;6;6;15;15;10;0;0
16;0;19;19;20;19;19;5;5;15;15;15;15;15;1;1;12;11;11;12;12;12;5;5;13;13;13;12;11;13;10;11;8;11;7;9;11;1;1;1;1;1;1;1;1;1;1;1;11;17;12;9;7;16;15;13;0;0
