PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
6;2019;0;9999;7;2;1;6;-1;0;0;1;0;68;0;11;0;0;15;5;5;9;8576;286;556;0;0
9;2023;0;9999;15;2;2;10;7;0;0;0;0;68;0;35;2;1;20;6;10;19;17406;453;753;2;1
9;2020;0;9999;7;1;1;9;-2;0;0;0;0;63;0;10;0;0;9;2;2;10;8159;0;92;1;0
9;2021;0;9999;7;0;5;2;-3;0;0;0;0;64;0;11;1;0;14;1;5;10;7277;0;6;0;0
9;2022;0;9999;16;5;5;2;-1;2;2;0;0;73;1;65;1;1;19;9;12;11;17424;2536;380;0;0
10;2023;4;9999;11;6;0;15;-5;0;0;0;0;60;2;26;0;0;23;15;7;31;13486;0;661;3;0
10;2019;4;9999;7;1;1;2;0;0;0;0;1;49;0;6;0;0;8;4;0;6;4660;90;461;0;0
10;2020;4;9999;14;0;5;12;-4;0;0;0;0;53;0;16;0;0;19;3;4;9;13510;0;1029;2;0
10;2021;4;9999;17;1;2;5;5;0;0;0;0;61;0;32;0;0;25;9;6;15;17575;102;918;1;1
10;2022;4;9999;17;2;3;14;2;0;0;1;0;62;1;34;0;0;31;22;15;24;21755;114;1449;2;2
12;2023;15;9999;13;1;7;7;6;0;0;0;0;54;0;18;3;1;7;14;8;8;13184;0;401;1;0
12;2021;15;9999;10;2;0;0;-4;0;0;0;0;58;2;12;0;0;15;3;5;23;11445;513;544;0;0
12;2022;15;9999;6;1;1;0;-6;0;1;0;0;61;0;9;0;0;10;2;1;2;5860;787;112;0;0
13;2023;4;9999;11;2;4;2;-2;0;0;0;0;59;1;21;32;18;29;14;3;21;11374;176;781;0;0
13;2022;4;9999;17;3;1;0;-3;0;0;0;0;53;0;14;0;0;14;8;2;8;6869;0;7;0;0
16;2023;7;9999;4;0;2;0;1;0;0;0;0;63;0;9;22;8;2;3;0;2;3879;128;600;0;0
16;2021;7;9999;4;1;0;0;0;0;0;0;0;53;0;5;3;2;0;1;0;2;1851;0;0;0;0
16;2022;7;9999;5;0;1;0;-2;0;0;0;0;56;0;2;49;21;3;2;1;1;3793;92;0;0;0
18;2023;14;9999;5;2;0;0;2;0;0;0;0;55;1;16;0;0;4;6;0;2;4547;49;0;0;0
18;2021;14;9999;4;0;0;0;-4;0;0;0;0;55;0;7;2;2;6;2;0;0;3907;245;0;0;0
18;2022;14;9999;5;1;2;0;-3;0;0;0;0;54;1;9;9;3;1;7;1;0;5748;138;233;0;0
20;2019;0;9999;7;1;0;4;0;0;0;0;0;63;0;9;49;30;5;2;0;3;4345;1519;0;0;0
20;2020;0;9999;7;2;4;2;1;1;1;0;0;72;0;16;116;50;19;7;1;5;7924;597;616;0;0
20;2021;0;9999;7;3;2;0;0;1;0;0;0;67;0;24;107;47;14;3;2;3;6936;1197;135;0;0
21;2019;0;9999;7;1;1;2;-2;0;0;0;0;62;0;11;1;0;12;3;2;5;7738;448;168;0;0
24;2023;14;9999;5;0;1;0;-3;0;0;0;0;54;0;4;35;14;4;2;1;1;3684;0;149;0;0
24;2021;15;9999;10;2;1;2;-1;0;0;0;0;50;0;11;84;41;13;6;0;1;5522;0;312;0;0
24;2022;14;9999;5;0;0;2;-2;0;0;0;0;51;0;2;19;9;3;1;0;0;1607;0;168;0;0
29;2019;0;9999;7;0;2;12;0;0;0;0;0;59;0;2;12;4;1;0;5;3;4357;5;692;0;0
30;2023;15;9999;13;1;3;0;2;0;0;0;0;58;0;13;9;6;16;10;11;10;13114;407;277;0;0
