PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
5;2019;0;0;39;1;8;12;-9;0;0;0;0;58;0;38;17;6;54;11;29;77;42371;331;4387;0;0
6;2019;0;0;50;6;8;11;10;0;0;1;0;60;0;74;0;0;55;14;23;40;47743;814;6494;1;0
9;2020;0;0;50;4;7;28;1;0;0;0;0;59;0;72;3;1;51;19;11;30;53332;11;1689;0;0
9;2021;0;0;50;5;7;4;7;0;0;0;0;66;2;87;18;5;59;17;21;68;50114;61;2808;0;0
9;2022;0;0;50;4;22;15;-4;2;7;0;0;70;0;148;1;0;60;28;10;30;49837;10878;1396;1;0
9;2023;0;0;66;13;20;29;39;1;3;0;0;70;3;171;21;9;116;40;42;108;70852;4471;6128;3;0
10;2019;4;0;50;3;13;22;7;0;1;0;1;53;0;47;10;5;56;17;13;50;34549;496;5574;2;1
10;2020;4;0;50;3;12;34;11;0;1;0;1;54;1;60;10;2;69;18;14;40;42975;272;6217;4;1
10;2021;4;0;50;3;18;31;16;0;0;0;0;62;1;87;2;0;54;20;23;37;53823;484;6492;3;1
10;2022;4;0;50;2;14;29;12;0;0;0;0;63;1;68;1;0;54;51;27;77;55853;131;7243;3;2
10;2023;4;0;66;9;13;45;-12;0;0;0;0;62;0;119;3;0;81;54;44;139;70605;219;5996;4;2
12;2021;15;0;50;5;10;24;-22;1;3;0;0;56;0;71;10;5;66;25;15;102;52477;2909;5517;0;0
12;2022;15;0;50;5;18;36;-5;1;1;0;0;61;1;92;6;2;69;37;16;47;45754;11815;542;1;0
12;2023;15;0;66;10;16;35;26;0;0;1;0;56;1;105;15;11;85;46;26;60;62908;188;8103;3;2
13;2022;4;0;50;4;8;20;-6;0;0;0;0;53;1;39;54;22;42;18;7;22;23299;169;851;2;1
13;2023;4;0;66;10;18;8;-27;3;3;0;0;60;1;122;140;62;115;40;27;122;59955;4803;6266;0;0
16;2021;7;0;48;3;4;2;-16;0;0;0;0;51;0;20;42;21;16;6;2;28;22173;8;256;0;0
16;2022;7;0;50;9;9;12;-23;3;5;1;0;59;2;66;503;259;14;13;18;58;38854;3306;453;0;0
16;2023;7;0;66;8;26;10;15;1;0;0;1;65;1;94;286;139;29;30;19;69;54849;3658;8833;0;0
18;2021;14;0;50;9;13;10;-21;2;1;0;0;54;1;51;46;21;39;18;8;25;42820;4618;266;0;0
18;2022;14;0;50;19;20;0;2;5;5;1;0;60;2;120;101;36;12;50;10;19;42942;8253;3267;0;0
18;2023;14;0;66;16;17;8;-1;2;4;0;0;57;3;149;25;14;54;43;13;28;56161;5060;107;0;0
20;2019;0;0;50;9;20;14;5;5;8;0;0;66;2;110;452;262;28;7;17;22;35049;10209;584;0;0
