PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
17;2019;0;9999;7;0;3;0;-1;0;1;0;0;82;0;15;138;79;23;7;2;6;7818;1430;735;0;0
37;2019;1;9999;15;0;2;2;3;0;0;0;0;54;0;13;0;0;28;4;3;2;13686;0;214;0;0
46;2019;1;9999;15;5;3;0;-2;0;0;0;0;64;0;36;35;10;42;5;5;15;17095;394;1253;0;0
47;2019;1;9999;15;9;9;4;3;5;2;0;0;65;1;48;2;2;24;9;5;10;15118;1360;0;0;0
50;2019;1;9999;15;5;10;2;-5;1;6;0;0;65;2;43;0;0;9;9;5;10;17021;1428;0;0;0
55;2019;1;9999;15;4;3;0;2;2;0;0;0;61;0;26;221;106;22;2;9;17;15264;435;240;0;0
83;2019;8;9999;14;4;6;2;3;0;0;0;0;61;0;33;0;0;9;7;5;8;14254;305;0;0;0
174;2019;5;9999;12;1;4;6;-2;0;1;0;0;71;0;31;3;1;16;8;8;17;17429;1661;1268;0;0
186;2019;5;9999;12;2;1;4;-4;1;0;0;0;58;0;25;6;2;5;8;6;12;12574;1714;0;0;0
220;2019;7;9999;17;0;2;2;2;0;0;0;0;59;0;14;70;40;6;3;5;19;9150;0;81;0;0
250;2019;7;9999;17;3;4;0;0;1;0;0;0;61;0;41;20;6;7;13;5;14;18312;1558;0;0;0
271;2019;8;9999;14;3;5;10;1;0;0;0;0;72;0;22;0;0;69;8;5;17;18715;0;1086;0;0
277;2019;8;9999;14;1;4;2;0;0;0;0;0;65;0;39;0;0;19;11;4;14;13610;1688;237;0;0
281;2019;8;9999;14;5;3;2;0;1;1;0;0;65;2;47;20;4;19;6;5;5;13836;1691;0;0;0
19;2019;0;9999;7;1;2;0;-3;0;0;0;0;58;1;10;7;3;29;2;3;9;7253;0;414;0;0
19;2020;9;9999;20;4;3;0;-3;0;0;0;0;59;0;27;72;41;29;10;1;18;10695;0;1540;0;0
39;2019;1;9999;15;2;12;4;-3;1;5;0;0;65;0;41;0;0;12;11;7;15;20697;1355;574;0;0
39;2020;1;9999;12;1;5;4;-1;0;0;0;0;68;1;23;1;0;23;10;7;8;15602;1486;146;0;0
40;2019;1;9999;15;3;7;4;1;1;3;0;0;62;2;37;0;0;26;15;12;16;20764;1355;1233;0;0
40;2020;1;9999;12;1;2;6;-1;0;1;0;0;66;0;24;0;0;24;15;10;29;15775;1486;499;0;0
51;2019;1;9999;15;0;9;6;-4;0;1;0;0;66;0;30;243;136;18;4;8;22;17034;1463;0;0;0
51;2020;1;9999;12;2;1;2;0;1;0;0;0;69;0;31;207;123;10;3;7;13;13056;1466;0;0;0
51;2021;1;9999;17;3;6;2;-3;0;1;0;0;64;2;33;256;133;12;5;7;23;17533;1050;184;0;0
59;2019;1;9999;15;6;3;2;3;0;0;0;0;59;1;41;29;11;19;12;2;13;15715;435;0;0;0
59;2020;1;9999;12;4;4;2;-1;0;2;0;0;63;0;36;24;14;18;14;1;13;13073;1466;0;0;0
59;2021;1;9999;17;5;9;2;0;2;1;0;0;65;0;43;25;10;22;15;9;23;18453;2286;0;0;0
93;2021;15;9999;10;1;4;2;-4;0;2;1;0;73;0;21;172;97;17;6;3;28;9901;1461;801;0;0
103;2020;9;9999;20;2;7;0;4;0;1;0;0;64;0;46;0;0;21;11;13;8;26110;1845;575;0;0
112;2021;3;9999;8;2;1;0;-2;0;0;0;0;73;0;24;9;5;4;3;9;4;8278;1151;899;0;0
142;2019;4;9999;7;1;4;2;-3;1;0;0;0;66;0;21;0;0;0;7;7;6;9772;1206;638;0;0
142;2020;4;9999;14;4;5;8;12;0;0;0;0;69;1;41;1;0;5;12;10;24;18034;1091;453;0;0
148;2019;4;9999;7;2;6;4;1;1;0;0;0;68;0;25;16;6;1;3;6;2;8389;1206;0;0;0
148;2020;4;9999;14;3;6;2;2;0;1;0;0;63;1;27;0;0;10;5;8;7;13879;1091;0;0;0
