PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
110;2019;3;0;2;0;0;0;0;0;0;0;0;56;0;1;0;0;3;1;1;3;1541;0;75;0;0
140;2019;4;0;6;1;1;2;2;0;0;0;0;63;0;5;61;35;5;3;3;3;4357;208;433;0;0
170;2019;5;0;8;0;0;2;-1;0;0;0;0;52;0;5;0;0;14;6;4;11;8114;81;887;0;0
295;2019;3;0;9;1;1;2;-1;0;0;0;0;56;0;4;13;4;9;1;3;6;4924;4;1082;0;0
323;2019;9;0;2;0;0;2;-3;0;0;0;0;51;0;4;4;1;1;3;0;0;1261;0;94;0;0
359;2019;9;0;4;0;0;4;-3;0;0;0;0;55;0;8;32;9;3;0;1;3;2484;0;375;0;0
420;2019;7;0;7;1;0;2;0;0;0;0;0;52;0;4;3;3;11;0;1;0;2249;0;0;0;0
17;2019;0;0;50;26;26;24;12;9;16;1;1;79;3;154;914;516;109;38;14;27;45023;10709;6778;0;0
37;2019;1;0;46;6;9;22;10;1;0;0;0;56;0;56;40;16;66;13;10;18;48211;471;4734;0;0
46;2019;1;0;48;14;15;17;5;3;1;0;0;64;4;111;70;23;95;10;11;44;40090;9304;114;1;0
47;2019;1;0;49;8;19;24;10;3;2;0;0;63;4;105;17;11;51;16;22;32;37400;6106;84;0;0
50;2019;1;0;48;16;21;26;1;3;9;0;0;64;4;140;15;5;57;17;10;22;39734;9915;17;0;0
55;2019;1;0;49;7;20;10;9;1;5;0;0;62;0;85;565;288;40;10;11;48;38425;4960;3827;0;0
83;2019;2;0;27;9;9;2;-8;3;3;0;0;62;2;76;50;15;13;13;4;15;22853;5462;0;0;0
83;2019;8;0;26;6;6;6;-4;1;1;0;0;55;4;50;1;0;14;15;2;11;19434;2260;0;0;0
84;2019;2;0;50;5;13;22;-14;1;6;0;0;69;2;127;108;33;41;19;28;108;43293;10349;4480;0;0
85;2019;2;0;50;11;15;34;-7;5;6;0;0;70;1;130;512;292;49;23;32;69;40674;9836;6603;0;0
174;2019;5;0;50;6;26;22;11;2;7;0;0;71;0;123;0;0;68;18;34;71;60016;9739;6426;0;0
186;2019;5;0;50;20;13;8;-7;6;7;0;0;60;4;166;61;23;23;35;10;33;44191;9461;44;0;0
220;2019;6;0;37;3;13;16;-3;0;3;0;0;66;0;66;644;374;41;10;14;74;30408;6946;2608;0;0
220;2019;7;0;13;3;6;0;5;0;0;1;0;60;0;15;84;45;5;0;5;7;6849;30;799;0;0
250;2019;7;0;50;19;31;0;25;4;11;0;0;67;6;174;122;47;5;23;15;21;46064;9515;56;0;0
271;2019;8;0;50;0;12;93;16;0;0;0;0;76;0;49;1;1;216;16;29;41;54019;83;4701;3;0
277;2019;8;0;50;17;19;19;-8;5;5;0;0;68;1;128;30;14;87;25;7;47;42494;12536;642;1;0
281;2019;8;0;50;17;25;20;-10;6;9;0;0;66;2;161;109;50;47;23;9;34;43073;12221;26;0;0
19;2019;0;0;50;5;6;22;9;2;2;0;0;54;0;44;65;22;101;8;6;28;37315;1942;3794;0;0
19;2020;0;0;37;7;13;25;-10;0;1;0;1;62;0;71;186;87;69;17;11;44;34830;3165;4230;3;0
19;2020;9;0;14;2;5;14;5;0;0;0;0;64;0;21;72;42;28;14;6;12;11125;82;1472;2;1
39;2019;1;0;47;7;16;16;0;4;6;0;0;67;2;144;2;0;69;10;20;37;47207;11650;3444;0;0
39;2020;1;0;50;10;20;16;20;2;10;1;0;68;3;142;3;1;78;16;17;29;54517;11510;2708;0;0
40;2019;1;0;50;5;17;12;2;2;4;0;0;62;1;90;2;1;66;34;23;49;52410;6543;5071;0;0
40;2020;1;0;50;15;15;24;15;6;5;0;0;67;2;155;1;1;86;56;26;96;54592;11760;4623;0;0
51;2019;1;0;49;7;25;12;6;1;8;0;0;68;0;101;856;475;45;12;19;60;40627;11581;496;0;0
