Id,GoalieId,Player Name,LeagueId,TeamId,SubtotalForId,Season,isPlayoffs,GamesPlayed,Wins,Losses,OvertimeLosses,Minutes,PenaltyMinutes,Shutouts,GoalsAgainst,ShotsAgainst,Assists,EmptyGoalAgainst,PenaltyShotAttempts,Starts,Backups,PenaltyShotSaves
,,Ryan Jesster,1,9,,1,0,40,13,18,9,2446,0,3,75,1063,0,0,0.714,28,40,0
,,Shane Kelley,1,7,,1,0,40,15,17,7,2388,4,5,92,1113,1,1,0.684,19,40,0
,,Mike O'Brien,1,10,,1,0,40,21,12,7,2414,4,6,66,1087,2,1,0.737,19,40,0
,,Fernando Garcia,1,6,,1,0,40,30,5,5,2433,2,9,62,1118,5,0,0.75,12,40,0
,,Jonathan Kane,1,14,,1,0,40,23,12,5,2434,0,7,69,1015,1,0,0.6,20,40,0
,,Steven Wonder,1,37,,1,0,40,18,16,6,2417,17,9,70,1196,1,2,0.692,39,40,0
0,100000,Jonathan Kane,1,14,,3,0,40,18,14,8,2449,0,2,92,1154,3,0,37,40,0,23
1,100001,CPU Player,1,9,,3,0,1,0,1,0,44,0,0,3,23,0,0,0,0,40,0
2,100002,Ryan Jesster,1,9,,3,0,40,18,16,5,2403,15,4,76,1061,0,0,33,40,0,24
3,100003,Mike Honcho,1,38,,3,0,40,28,6,6,2459,2,1,74,1083,5,1,32,40,0,22
4,100005,Markus Kaitala,1,7,,3,0,40,15,20,4,2419,4,0,96,1119,0,2,19,40,0,14
5,100012,Shane Kelley,1,4,,3,0,40,22,9,8,2434,17,1,76,1132,3,0,34,40,0,20
6,100006,Fernando Garcia,1,6,,3,0,40,28,7,5,2454,4,4,70,1062,1,0,37,40,0,27
7,100008,Mike O'Brien,1,10,,3,0,38,15,22,1,2220,4,1,86,990,1,0,14,38,2,12
8,100009,Joona Poukkanen,1,10,,3,0,4,1,1,0,208,0,0,9,122,1,0,0,2,38,0
9,100010,Martin Bowmen,1,37,,3,0,30,10,11,8,1756,0,0,71,869,2,0,33,29,11,19
10,100011,Ajax McFallahan,1,37,,3,0,13,5,6,0,698,4,2,23,329,0,1,2,11,29,1
11,100007,Grant Dryden,1,4,,3,0,2,0,0,1,25,0,0,0,4,0,0,2,0,40,0
12,100004,CPU Player,1,7,3,3,0,1,0,1,0,12,0,0,2,9,0,0,0,0,40,0
13,100000,Jonathan Kane,1,14,,4,0,40,19,18,2,2374,2,1,109,1165,1,0,28,40,0,24
14,100001,CPU Player,1,9,,4,0,1,0,0,0,19,0,0,1,11,0,0,0,0,40,0
15,100011,Ajax McFallahan,1,37,,4,0,40,17,16,7,2445,6,0,102,1285,4,0,33,40,0,17
16,100002,Ryan Jesster,1,9,,4,0,40,13,23,4,2414,4,2,88,1282,3,1,21,40,0,14
17,100012,Shane Kelley,1,10,,4,0,6,1,2,0,217,0,0,17,110,0,0,0,2,38,0
18,100001,CPU Player,1,4,,4,0,1,0,0,0,17,0,0,0,4,0,0,0,0,40,0
19,100008,Mike O'Brien,1,4,,4,0,40,21,16,3,2422,2,2,88,1265,0,0,25,40,0,18
